# Sigle compatte (12 parole)
[CPU; Unita' Centrale di Elaborazione]
[ALU; Unita' Aritmetico/Logica]
[RAM; Memoria ad Accesso Casuale]
[ROM; Memoria si Sola Lettura]
[MAR; Registro degli Indirizzi di Memoria]
[MDR; Registro dei Dati]
[PSW; Registro di Stato]
[CLI; Interfaccia da Linea di Comando]
[GUI; Interfaccia Grafica]
[CU; Unita' di Controllo]
[IR; Registro di Istruzione]
[PC; Puntatore di programma]
[OS; Sistema Operativo]

# Sigle estese (non contate tra le 30 parole)
[Central Processing Unit; %CPU]
[Arithmetic/Logic Unit; %ALU]
[Random Access Memory; %RAM]
[Read-Only Memory; %ROM]
[Memory Address Register; %MAR]
[Memory Data Register; %MDR]
[Process Status Word; %PSW]
[Command Line Interface; %CLI]
[Graphic User Interface; %GUI]
[Central Unit; %CU]
[Instruction Register; %IR]
[Program Counter; %PC]
[Operating System; %OS]

# Parole singole (18 parole)
[Process; Processo]
[Computer; Elaboratore]
[Delay; Ritardo]
[Bit; Cifra Binaria]
[Address; Indirizzo]
[Instruction; Istruzione]
[Motherboard; Scheda Madre]
[Socket; Collegamento]
[Signal; Segnale]
[Enable; Abilitare]
[Read; Lettura]
[Write; Scrittura]
[Input; Ingresso]
[Output; Uscita]
[Chipset; Collegamento Integrato]
[Hexadecimal; Esadecimale]
[Binary; Binario]
[Memory; Memoria]
